Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Distance Category,KPT Category
101.0,Spice Hub,North Zone,Bhopal,O0001,2026-08-01 10:07:00,Delivered,Standard,2.6,2.0,,31.0,253.0,18.0,7.0,5.0,3.0,2.0,254.0,3.7,Could be improved,,0.0,0.0,13.0,4.0,2026-08-01 10:20:00,,201.0,Near,Fast
102.0,Urban Tadka,Central Zone,Bhopal,O0002,2026-08-01 11:14:00,Delivered,Express,3.9,3.0,,42.0,326.0,21.0,14.0,10.0,6.0,4.0,313.0,4.4,Good delivery,,0.0,0.0,16.0,6.0,2026-08-01 11:30:00,,202.0,Medium,Normal
103.0,Food Junction,South Zone,Bhopal,O0003,2026-08-01 12:21:00,Delivered,Standard,5.3,4.0,,53.0,399.0,24.0,21.0,15.0,9.0,6.0,372.0,3.1,Could be improved,,0.0,0.0,19.0,8.0,2026-08-01 12:40:00,,203.0,Medium,Normal
104.0,Green Bowl,East Zone,Indore,O0004,2026-08-01 13:28:00,Delivered,Express,6.7,5.0,Call before delivery,64.0,472.0,27.0,28.0,20.0,12.0,8.0,431.0,3.8,Could be improved,,0.0,0.0,22.0,10.0,2026-08-01 13:50:00,,204.0,Medium,Normal
105.0,Cafe Aroma,Central Zone,Indore,O0005,2026-08-01 14:35:00,Cancelled,Standard,8.1,6.0,,75.0,545.0,30.0,35.0,25.0,15.0,10.0,490.0,,,Customer unavailable,75.0,0.0,25.0,12.0,2026-08-01 15:00:00,Late delivery,205.0,Far,Normal
106.0,The Meal House,West Zone,Indore,O0006,2026-08-01 15:42:00,Rejected,Express,9.4,1.0,,86.0,618.0,33.0,42.0,30.0,18.0,12.0,549.0,,,Restaurant rejected order,0.0,30.0,28.0,14.0,2026-08-01 16:10:00,,206.0,Far,Normal
101.0,Spice Hub,North Zone,Bhopal,O0007,2026-08-01 16:49:00,Delivered,Standard,10.8,2.0,,97.0,691.0,36.0,49.0,35.0,21.0,14.0,608.0,3.9,Could be improved,,0.0,0.0,31.0,16.0,2026-08-01 17:20:00,,207.0,Far,Slow
102.0,Urban Tadka,Central Zone,Bhopal,O0008,2026-08-01 17:56:00,Delivered,Express,12.2,3.0,Call before delivery,28.0,764.0,39.0,56.0,0.0,24.0,16.0,707.0,4.6,Good delivery,,0.0,0.0,34.0,2.0,2026-08-01 18:30:00,,208.0,Far,Slow
103.0,Food Junction,South Zone,Bhopal,O0009,2026-08-01 18:03:00,Delivered,Standard,1.5,4.0,,39.0,837.0,17.0,3.0,5.0,2.0,18.0,826.0,3.3,Could be improved,,0.0,0.0,37.0,4.0,2026-08-01 18:40:00,,209.0,Near,Slow
104.0,Green Bowl,East Zone,Indore,O0010,2026-08-01 19:10:00,Delivered,Express,2.9,5.0,,50.0,910.0,20.0,10.0,10.0,5.0,0.0,905.0,4.0,Good delivery,,0.0,0.0,40.0,6.0,2026-08-01 19:50:00,Wrong item,210.0,Near,Slow
